name,iter,ops_per_s,avg_ms
small_document_parse,1000,21470.98,0.0466
medium_document_parse,100,5793.88,0.1726
large_document_parse,10,991.03,1.0091
small_code_highlight,1000,21566.92,0.0464
medium_code_highlight,100,36322.69,0.0275
large_code_highlight,10,24307.24,0.0411
simple_inline_parse,10000,277883.53,0.0036
complex_inline_parse,1000,84239.61,0.0119
nested_inline_parse,1000,72666.50,0.0138
long_inline_parse,100,6972.97,0.1434
