name,iter,ops_per_s,avg_ms
small_document_parse,1000,10284.55,0.0972
medium_document_parse,100,2165.54,0.4618
large_document_parse,10,576.89,1.7334
small_code_highlight,1000,17275.65,0.0579
medium_code_highlight,100,9596.59,0.1042
large_code_highlight,10,759.54,1.3166
simple_inline_parse,10000,115745.07,0.0086
complex_inline_parse,1000,49849.28,0.0201
nested_inline_parse,1000,43926.98,0.0228
long_inline_parse,100,3679.28,0.2718
